,Date,Peak Generation (MW),Lowest Generation (MW),Energy Recorded(Mwh),Generation at 6:00hrs (MW),Highest System Frequency (Hz),Lowest System Frequency (Hz),Highest Voltage Recorded (kV),Lowest Voltage Recorded (kV)
98,2020-04-21,5264.4,3987.8,106714.82,4004.3,50.6,49.98,350.0,300.0
99,2020-04-22,4917.4,3056.4,92037.51,3134.5,51.02,49.39,366.0,300.0
100,2020-04-23,4968.1,3393.4,96117.89,3527.5,51.02,50.04,373.0,220.0
101,2020-04-24,5313.9,3709.0,105661.21,4038.1,50.51,49.42,352.0,280.0
102,2020-04-25,4796.1,3248.5,99852.85,4191.8,50.88,49.9,351.0,300.0
103,2020-04-26,4520.7,1843.3,73763.24,1843.3,51.25,49.62,387.0,300.0
104,2020-04-27,4641.3,3120.5,92436.81,3336.5,50.95,49.72,362.0,300.0
105,2020-04-28,5188.1,2883.7,90849.82,2983.0,50.78,49.35,359.0,300.0
106,2020-04-29,4553.6,11.5,65704.91,1601.2,51.26,47.6,355.0,291.0
107,2020-04-30,4845.0,3145.5,92333.4,3364.4,50.94,49.72,381.0,300.0
108,2020-05-01,5222.3,3536.5,99855.56,3709.4,50.67,49.62,357.0,300.0
109,2020-05-02,4765.4,4004.6,103239.48,4125.7,50.56,50.09,358.0,300.0
110,2020-05-03,4991.0,2355.7,88042.01,3285.2,51.07,50.06,374.0,300.0
111,2020-05-04,5055.3,2923.1,94459.46,3443.6,50.85,50.02,364.0,280.0
112,2020-05-05,4968.3,3803.5,99981.62,3285.2,50.57,49.71,354.0,300.0
113,2020-05-06,5159.3,4044.2,106326.97,4077.3,50.51,49.76,351.0,275.0
114,2020-05-07,5187.0,3875.3,106574.68,4008.8,50.53,49.61,352.0,300.0
115,2020-05-08,5084.9,4070.8,107499.04,4138.4,50.55,49.36,350.0,300.0
116,2020-05-09,4592.7,3751.9,100726.5,4016.6,50.65,49.85,350.0,300.0
117,2020-05-10,5015.6,2662.5,93886.5,3391.4,50.95,49.91,358.0,280.0
118,2020-05-11,5267.6,3471.6,100737.62,3471.6,50.44,49.32,351.0,280.0
119,2020-05-12,4921.2,3855.6,104538.13,4085.9,50.55,49.49,349.0,280.0
120,2020-05-13,5094.6,3444.8,101891.83,3645.6,50.97,49.9,353.0,280.0
121,2020-05-14,4794.7,3809.7,103818.1,3930.1,50.53,49.73,349.0,290.0
122,2020-05-15,4997.6,3270.2,97780.39,3270.2,50.55,49.18,358.0,290.0
123,2020-05-16,4886.8,3473.6,102149.67,4071.5,50.46,49.69,349.0,280.0
124,2020-05-19,5097.4,3382.8,101131.16,3699.1,50.7,49.45,352.0,280.0
125,2020-05-20,4414.9,2251.3,85258.79,3794.4,51.12,49.96,359.0,290.0
126,2020-05-21,4772.0,3665.1,100891.31,3670.8,50.78,49.66,359.0,290.0
127,2020-05-22,4980.5,3490.8,102401.74,3490.8,50.49,49.73,351.0,292.0
128,2020-05-23,4889.2,3703.7,101742.21,3862.8,50.56,49.41,350.0,300.0
129,2020-05-24,4835.5,3493.3,97051.77,3738.0,50.55,50.02,353.0,290.0
130,2020-05-25,4409.6,2403.4,81492.44,2626.9,51.37,49.47,368.0,300.0
131,2020-05-26,4950.8,3185.2,96745.81,3405.6,50.64,49.94,354.0,285.0
132,2020-05-27,4867.3,2960.0,96711.56,3332.8,51.08,49.75,386.0,285.0
133,2020-05-28,5114.2,3266.3,94565.93,3470.9,50.65,49.74,352.0,300.0
134,2020-05-29,5295.7,3443.5,101459.46,3507.7,50.44,49.24,353.0,290.0
135,2020-05-30,4827.7,3625.2,99850.19,3699.7,50.55,49.88,351.0,300.0
136,2020-05-31,4860.6,3223.1,94788.72,3338.6,50.53,49.6,351.0,300.0
137,2020-06-01,4785.4,3016.4,93843.75,3740.5,51.17,49.6,351.0,300.0
138,2020-06-02,4326.5,140.0,66401.03,2774.9,51.05,48.7,403.0,300.0
139,2020-06-03,5075.2,3522.5,101301.02,3652.4,50.49,49.73,348.0,285.0
